epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,986.111,0.88285,0.58212,0.99169,0.9199,0.75014,0.82669,0.62192,0.72026,0.47637,0.94215,0.000621029,0.000621029,0.000621029
162,991.919,0.83323,0.55072,0.96783,0.92354,0.75244,0.82804,0.63042,0.73559,0.48005,0.94349,0.000619229,0.000619229,0.000619229
163,997.752,0.85087,0.55633,0.96678,0.90804,0.77048,0.8288,0.62625,0.72906,0.46914,0.93979,0.000617429,0.000617429,0.000617429
164,1003.56,0.85782,0.56643,1.00268,0.91774,0.76643,0.83324,0.63872,0.71443,0.46319,0.93922,0.000615629,0.000615629,0.000615629
165,1009.45,0.85051,0.53362,0.98196,0.93543,0.74791,0.82189,0.63497,0.71128,0.46911,0.93788,0.00061383,0.00061383,0.00061383
166,1015.27,0.85548,0.55074,0.99065,0.93635,0.75152,0.83002,0.62751,0.71682,0.46383,0.93093,0.00061203,0.00061203,0.00061203
167,1021.06,0.83686,0.53706,0.96572,0.92708,0.75757,0.82827,0.63661,0.71694,0.45679,0.95163,0.00061023,0.00061023,0.00061023
168,1026.86,0.81519,0.53142,0.97685,0.90758,0.76292,0.82684,0.64071,0.69516,0.4704,0.92294,0.00060843,0.00060843,0.00060843
169,1032.72,0.84001,0.55469,0.96017,0.92897,0.76411,0.83678,0.63675,0.73805,0.46353,0.93407,0.00060663,0.00060663,0.00060663
170,1038.52,0.85358,0.55052,0.99048,0.95598,0.75743,0.83704,0.64508,0.70341,0.45142,0.92456,0.00060483,0.00060483,0.00060483
171,1044.35,0.84449,0.5347,0.99174,0.93198,0.75199,0.82675,0.64038,0.70005,0.46907,0.91925,0.000603031,0.000603031,0.000603031
172,1050.15,0.84372,0.56217,0.97654,0.91744,0.74965,0.82349,0.63899,0.71011,0.45579,0.92462,0.000601231,0.000601231,0.000601231
173,1055.91,0.84812,0.55535,0.97027,0.90798,0.77012,0.82723,0.6428,0.70075,0.45346,0.9242,0.000599431,0.000599431,0.000599431
174,1061.67,0.82984,0.54369,0.96164,0.91387,0.77629,0.83474,0.65301,0.67587,0.4464,0.92737,0.000597631,0.000597631,0.000597631
175,1067.49,0.80144,0.52573,0.96332,0.9306,0.75786,0.826,0.64502,0.70594,0.45947,0.92572,0.000595831,0.000595831,0.000595831
176,1073.28,0.84273,0.55661,0.97422,0.92298,0.77526,0.84175,0.64905,0.69977,0.45447,0.92415,0.000594031,0.000594031,0.000594031
177,1079.03,0.83678,0.53955,0.98442,0.94103,0.7709,0.83887,0.64466,0.69878,0.45374,0.93403,0.000592232,0.000592232,0.000592232
178,1084.8,0.79282,0.5221,0.96191,0.90639,0.75906,0.81895,0.62143,0.73184,0.46605,0.92716,0.000590432,0.000590432,0.000590432
179,1090.56,0.82603,0.54335,0.97285,0.93858,0.7623,0.84009,0.6497,0.66636,0.43881,0.91389,0.000588632,0.000588632,0.000588632
180,1096.34,0.79037,0.52422,0.96438,0.92659,0.7831,0.84251,0.64964,0.68025,0.44345,0.91789,0.000586832,0.000586832,0.000586832
181,1102.08,0.79888,0.50813,0.94374,0.94361,0.76377,0.83881,0.64926,0.6947,0.4528,0.91652,0.000585032,0.000585032,0.000585032
