epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,334.238,1.21496,0.97552,1.11198,0.83969,0.59261,0.65401,0.45349,1.0997,0.83318,1.08734,0.000794711,0.000794711,0.000794711
129,336.785,1.19083,0.95102,1.1146,0.82967,0.57132,0.66108,0.45364,1.12683,0.88138,1.1086,0.000793812,0.000793812,0.000793812
130,339.384,1.20732,0.91862,1.11662,0.79914,0.62018,0.68243,0.46932,1.07966,0.81273,1.0849,0.000792912,0.000792912,0.000792912
131,341.943,1.22152,0.94959,1.13209,0.84671,0.57727,0.66183,0.46156,1.09763,0.83993,1.08884,0.000792012,0.000792012,0.000792012
132,344.654,1.24728,0.96746,1.11333,0.81127,0.58117,0.66246,0.45632,1.08704,0.811,1.07657,0.000791112,0.000791112,0.000791112
133,347.287,1.21996,0.9479,1.11484,0.81474,0.58435,0.66355,0.46049,1.07962,0.81091,1.07625,0.000790212,0.000790212,0.000790212
134,349.832,1.19564,0.9256,1.1168,0.80577,0.58867,0.66539,0.46497,1.06784,0.85029,1.06972,0.000789312,0.000789312,0.000789312
135,352.424,1.20912,0.93992,1.0938,0.83611,0.61872,0.68411,0.48116,1.04094,0.80176,1.05182,0.000788412,0.000788412,0.000788412
136,354.989,1.18436,0.9552,1.11821,0.82307,0.59331,0.67504,0.46518,1.06811,0.79823,1.07089,0.000787512,0.000787512,0.000787512
137,357.52,1.18966,0.93004,1.12738,0.83296,0.58541,0.66682,0.46597,1.10115,0.7892,1.07688,0.000786612,0.000786612,0.000786612
138,360.061,1.20825,0.92917,1.11415,0.77246,0.63916,0.68301,0.48108,1.05303,0.76658,1.05938,0.000785712,0.000785712,0.000785712
139,362.618,1.20411,0.92545,1.12087,0.85851,0.59777,0.68216,0.48081,1.0481,0.77442,1.06053,0.000784812,0.000784812,0.000784812
140,365.268,1.175,0.89583,1.10996,0.82379,0.61189,0.68388,0.4804,1.03346,0.7572,1.05559,0.000783913,0.000783913,0.000783913
141,367.831,1.18865,0.90902,1.09878,0.86732,0.58294,0.67235,0.47539,1.04531,0.79466,1.05825,0.000783013,0.000783013,0.000783013
142,370.503,1.14934,0.8722,1.0901,0.85124,0.59559,0.67475,0.47274,1.05665,0.77995,1.06729,0.000782113,0.000782113,0.000782113
143,373.178,1.15422,0.91249,1.0828,0.87648,0.59884,0.68605,0.48987,1.04453,0.75104,1.05035,0.000781213,0.000781213,0.000781213
144,375.883,1.20494,0.93192,1.11833,0.8631,0.57447,0.67503,0.46967,1.09625,0.82474,1.06741,0.000780313,0.000780313,0.000780313
145,378.465,1.13224,0.90286,1.08296,0.81693,0.6099,0.69397,0.48815,1.02749,0.78297,1.04639,0.000779413,0.000779413,0.000779413
146,381.055,1.13109,0.89297,1.06429,0.85066,0.61583,0.6902,0.48151,1.05993,0.82014,1.0697,0.000778513,0.000778513,0.000778513
147,383.639,1.16852,0.90191,1.07553,0.88557,0.59899,0.69661,0.48643,1.03778,0.82154,1.05054,0.000777613,0.000777613,0.000777613
148,386.353,1.14896,0.89743,1.09431,0.8435,0.60101,0.68885,0.48762,1.01174,0.77383,1.04486,0.000776713,0.000776713,0.000776713
149,389.043,1.1813,0.89861,1.1221,0.80727,0.62452,0.69526,0.47423,1.02857,0.75345,1.0516,0.000775813,0.000775813,0.000775813
150,391.559,1.15059,0.89089,1.11272,0.82129,0.60521,0.67729,0.47126,1.07232,0.7771,1.06481,0.000774913,0.000774913,0.000774913
151,394.142,1.16519,0.88998,1.10136,0.88436,0.60128,0.69278,0.4907,1.02076,0.74034,1.04519,0.000774013,0.000774013,0.000774013
152,396.813,1.12617,0.87372,1.12073,0.80003,0.62101,0.68656,0.4879,1.04674,0.73694,1.04834,0.000773114,0.000773114,0.000773114
